01295;PEYZIEUX SUR SAONE                    ;01140;PEYZIEUX SUR SAONE                    
01296;PIRAJOUX                              ;01270;PIRAJOUX                              
01297;PIZAY                                 ;01120;PIZAY                                 
01298;PLAGNE                                ;01130;PLAGNE                                
01299;LE PLANTAY                            ;01330;LE PLANTAY                            
01300;LE POIZAT                             ;01130;LE POIZAT                             
01301;POLLIAT                               ;01310;POLLIAT                               
01302;POLLIEU                               ;01350;POLLIEU                               
01303;PONCIN                                ;01450;PONCIN                                
01304;PONT D AIN                            ;01160;PONT D AIN                            
01305;PONT DE VAUX                          ;01190;PONT DE VAUX                          
01306;PONT DE VEYLE                         ;01290;PONT DE VEYLE                         
01307;PORT                                  ;01460;PORT                                  
01308;POUGNY                                ;01550;POUGNY                                
01309;POUILLAT                              ;01250;POUILLAT                              
01310;PREMEYZEL                             ;01300;PREMEYZEL                             
01311;PREMILLIEU                            ;01110;PREMILLIEU                            
01312;PRESSIAT                              ;01370;PRESSIAT                              
01313;PREVESSIN MOENS                       ;01280;PREVESSIN MOENS                       
01314;PRIAY                                 ;01160;PRIAY                                 
01316;PUGIEU                                ;01510;PUGIEU                                
01317;RAMASSE                               ;01250;RAMASSE                               
01318;RANCE                                 ;01390;RANCE                                 
01319;RELEVANT                              ;01990;RELEVANT                              
01320;REPLONGES                             ;01750;REPLONGES                             
01321;REVONNAS                              ;01250;REVONNAS                              
01322;REYRIEUX                              ;01600;REYRIEUX                              
01323;REYSSOUZE                             ;01190;REYSSOUZE                             
01325;RIGNIEUX LE FRANC                     ;01800;RIGNIEUX LE FRANC                     
01328;ROMANS                                ;01400;ROMANS                                
01329;ROSSILLON                             ;01510;ROSSILLON                             
01330;RUFFIEU                               ;01260;RUFFIEU                               
01331;ST ALBAN                              ;01450;ST ALBAN                              
01332;ST ANDRE DE BAGE                      ;01380;ST ANDRE DE BAGE                      
01333;ST ANDRE DE CORCY                     ;01390;ST ANDRE DE CORCY                     
01334;ST ANDRE D HUIRIAT                    ;01290;ST ANDRE D HUIRIAT                    
01335;ST ANDRE LE BOUCHOUX                  ;01240;ST ANDRE LE BOUCHOUX                  
01336;ST ANDRE SUR VIEUX JONC               ;01960;ST ANDRE SUR VIEUX JONC               
01337;ST BENIGNE                            ;01190;ST BENIGNE                            
01338;ST BENOIT                             ;01300;ST BENOIT                             
01339;ST BERNARD                            ;01600;ST BERNARD                            
01340;ST BOIS                               ;01300;ST BOIS                               
01341;ST CHAMP                              ;01300;ST CHAMP                              
01342;STE CROIX                             ;01120;STE CROIX                             
01343;ST CYR SUR MENTHON                    ;01380;ST CYR SUR MENTHON                    
01344;ST DENIS LES BOURG                    ;01000;ST DENIS LES BOURG                    
01345;ST DENIS EN BUGEY                     ;01500;ST DENIS EN BUGEY                     
01346;ST DIDIER D AUSSIAT                   ;01340;ST DIDIER D AUSSIAT                   
01347;ST DIDIER DE FORMANS                  ;01600;ST DIDIER DE FORMANS                  
01348;ST DIDIER SUR CHALARONNE              ;01140;ST DIDIER SUR CHALARONNE              
01349;ST ELOI                               ;01800;ST ELOI                               
01350;ST ETIENNE DU BOIS                    ;01370;ST ETIENNE DU BOIS                    
01351;ST ETIENNE SUR CHALARONNE             ;01140;ST ETIENNE SUR CHALARONNE             
01352;ST ETIENNE SUR REYSSOUZE              ;01190;ST ETIENNE SUR REYSSOUZE              
01353;STE EUPHEMIE                          ;01600;STE EUPHEMIE                          
01354;ST GENIS POUILLY                      ;01630;ST GENIS POUILLY                      
01355;ST GENIS SUR MENTHON                  ;01380;ST GENIS SUR MENTHON                  
01356;ST GEORGES SUR RENON                  ;01400;ST GEORGES SUR RENON                  
01357;ST GERMAIN DE JOUX                    ;01130;ST GERMAIN DE JOUX                    
01358;ST GERMAIN LES PAROISSES              ;01300;ST GERMAIN LES PAROISSES              
01359;ST GERMAIN SUR RENON                  ;01240;ST GERMAIN SUR RENON                  
01360;ST JEAN DE GONVILLE                   ;01630;ST JEAN DE GONVILLE                   
01361;ST JEAN DE NIOST                      ;01800;ST JEAN DE NIOST                      
01362;ST JEAN DE THURIGNEUX                 ;01390;ST JEAN DE THURIGNEUX                 
01363;ST JEAN LE VIEUX                      ;01640;ST JEAN LE VIEUX                      
01364;ST JEAN SUR REYSSOUZE                 ;01560;ST JEAN SUR REYSSOUZE                 
01365;ST JEAN SUR VEYLE                     ;01290;ST JEAN SUR VEYLE                     
01366;STE JULIE                             ;01150;STE JULIE                             
01367;ST JULIEN SUR REYSSOUZE               ;01560;ST JULIEN SUR REYSSOUZE               
01368;ST JULIEN SUR VEYLE                   ;01540;ST JULIEN SUR VEYLE                   
01369;ST JUST                               ;01250;ST JUST                               
01370;ST LAURENT SUR SAONE                  ;01750;ST LAURENT SUR SAONE                  
01371;ST MARCEL                             ;01390;ST MARCEL                             
01372;ST MARTIN DE BAVEL                    ;01510;ST MARTIN DE BAVEL                    
01373;ST MARTIN DU FRENE                    ;01430;ST MARTIN DU FRENE                    
01374;ST MARTIN DU MONT                     ;01160;ST MARTIN DU MONT                     
01375;ST MARTIN LE CHATEL                   ;01310;ST MARTIN LE CHATEL                   
01376;ST MAURICE DE BEYNOST                 ;01700;ST MAURICE DE BEYNOST                 
01378;ST MAURICE DE GOURDANS                ;01800;ST MAURICE DE GOURDANS                
01379;ST MAURICE DE REMENS                  ;01500;ST MAURICE DE REMENS                  
01380;ST NIZIER LE BOUCHOUX                 ;01560;ST NIZIER LE BOUCHOUX                 
01381;ST NIZIER LE DESERT                   ;01320;ST NIZIER LE DESERT                   
01382;STE OLIVE                             ;01330;STE OLIVE                             
01383;ST PAUL DE VARAX                      ;01240;ST PAUL DE VARAX                      
01384;ST RAMBERT EN BUGEY                   ;01230;ST RAMBERT EN BUGEY                   
01385;ST REMY                               ;01310;ST REMY                               
01386;ST SORLIN EN BUGEY                    ;01150;ST SORLIN EN BUGEY                    
01387;ST SULPICE                            ;01340;ST SULPICE                            
01388;ST TRIVIER DE COURTES                 ;01560;ST TRIVIER DE COURTES                 
01389;ST TRIVIER SUR MOIGNANS               ;01990;ST TRIVIER SUR MOIGNANS               
01390;ST VULBAS                             ;01150;ST VULBAS                             
01391;SALAVRE                               ;01270;SALAVRE                               
01392;SAMOGNAT                              ;01580;SAMOGNAT                              
01393;SANDRANS                              ;01400;SANDRANS                              
01396;SAULT BRENAZ                          ;01150;SAULT BRENAZ                          
01397;SAUVERNY                              ;01220;SAUVERNY                              
01398;SAVIGNEUX                             ;01480;SAVIGNEUX                             
01399;SEGNY                                 ;01170;SEGNY                                 
01400;SEILLONNAZ                            ;01470;SEILLONNAZ                            
01401;SERGY                                 ;01630;SERGY                                 
01402;SERMOYER                              ;01190;SERMOYER                              
01403;SERRIERES DE BRIORD                   ;01470;SERRIERES DE BRIORD                   
01404;SERRIERES SUR AIN                     ;01450;SERRIERES SUR AIN                     
01405;SERVAS                                ;01960;SERVAS                                
01406;SERVIGNAT                             ;01560;SERVIGNAT                             
01407;SEYSSEL                               ;01420;SEYSSEL                               
01408;SIMANDRE SUR SURAN                    ;01250;SIMANDRE SUR SURAN                    
01409;SONGIEU                               ;01260;SONGIEU                               
01410;SONTHONNAX LA MONTAGNE                ;01580;SONTHONNAX LA MONTAGNE                
01411;SOUCLIN                               ;01150;SOUCLIN                               
01412;SULIGNAT                              ;01400;SULIGNAT                              
01413;SURJOUX                               ;01420;SURJOUX                               
01414;SUTRIEU                               ;01260;SUTRIEU                               
01415;TALISSIEU                             ;01510;TALISSIEU                             
01416;TENAY                                 ;01230;TENAY                                 
01417;THEZILLIEU                            ;01110;THEZILLIEU                            
01418;THIL                                  ;01120;THIL                                  
01419;THOIRY                                ;01710;THOIRY                                
01420;THOISSEY                              ;01140;THOISSEY                              
01421;TORCIEU                               ;01230;TORCIEU                               
01422;TOSSIAT                               ;01250;TOSSIAT                               
01423;TOUSSIEUX                             ;01600;TOUSSIEUX                             
01424;TRAMOYES                              ;01390;TRAMOYES                              
01425;LA TRANCLIERE                         ;01160;LA TRANCLIERE                         
01426;TREFFORT CUISIAT                      ;01370;TREFFORT CUISIAT                      
01427;TREVOUX                               ;01600;TREVOUX                               
01428;VALEINS                               ;01140;VALEINS                               
01429;VANDEINS                              ;01660;VANDEINS                              
01430;VARAMBON                              ;01160;VARAMBON                              
01431;VAUX EN BUGEY                         ;01150;VAUX EN BUGEY                         
01432;VERJON                                ;01270;VERJON                                
01433;VERNOUX                               ;01560;VERNOUX                               
01434;VERSAILLEUX                           ;01330;VERSAILLEUX                           
01435;VERSONNEX                             ;01210;VERSONNEX                             
01436;VESANCY                               ;01170;VESANCY                               
01437;VESCOURS                              ;01560;VESCOURS                              
01439;VESINES                               ;01570;VESINES                               
01441;VIEU D IZENAVE                        ;01430;VIEU D IZENAVE                        
01442;VIEU                                  ;01260;VIEU                                  
01443;VILLARS LES DOMBES                    ;01330;VILLARS LES DOMBES                    
01444;VILLEBOIS                             ;01150;VILLEBOIS                             
01445;VILLEMOTIER                           ;01270;VILLEMOTIER                           
01446;VILLENEUVE                            ;01480;VILLENEUVE                            
01447;VILLEREVERSURE                        ;01250;VILLEREVERSURE                        
01448;VILLES                                ;01200;VILLES                                
01449;VILLETTE SUR AIN                      ;01320;VILLETTE SUR AIN                      
01450;VILLIEU LOYES MOLLON                  ;01800;VILLIEU LOYES MOLLON                  
01451;VIRIAT                                ;01440;VIRIAT                                
01452;VIRIEU LE GRAND                       ;01510;VIRIEU LE GRAND                       
01453;VIRIEU LE PETIT                       ;01260;VIRIEU LE PETIT                       
01454;VIRIGNIN                              ;01300;VIRIGNIN                              
01456;VONGNES                               ;01350;VONGNES                               
01457;VONNAS                                ;01540;VONNAS                                
02001;ABBECOURT                             ;02300;ABBECOURT                             
02002;ACHERY                                ;02800;ACHERY                                
02003;ACY                                   ;02200;ACY                                   
02004;AGNICOURT ET SECHELLES                ;02340;AGNICOURT ET SECHELLES                
02005;AGUILCOURT                            ;02190;AGUILCOURT                            
02006;AISONVILLE ET BERNOVILLE              ;02110;AISONVILLE ET BERNOVILLE              
02007;AIZELLES                              ;02820;AIZELLES                              
02008;AIZY JOUY                             ;02370;AIZY JOUY                             
02009;ALAINCOURT                            ;02240;ALAINCOURT                            
02010;ALLEMANT                              ;02320;ALLEMANT                              
